Forte Construction,0014x00000cww2WAAQ,0014x00000cww2W,Electrical,Electrical,Electrical,"$75,000,000 ",$25M-$100M,"$1,001,223","$805,740","$650,845","$1,435,842","$755,691","$584,415","$623,862","$879,144","$479,728","$1,230,085","$469,235","$975,687","$1,698,114","$1,963,417","$1,518,930",-23%,"-$444,488",
Harper Electric CIMS,0014x00000cwXz5AAE,0014x00000cwXz5,Electrical,Electrical,Electrical,"$40,000,000 ",$25M-$100M,"$205,659","$216,362","$209,809","$94,096","$252,297","$202,179","$111,730","$1,346,665","$161,866","$228,472","$7,667,610","$989,283",$0,$0,"$2,227,757",#DIV/0!,"$2,227,757",
T.E.M. Group Inc.,0014x00000cxMVWAA2,0014x00000cxMVW,Electrical,Electrical,Electrical,"$16,312,000 ",Less than $25M,"$2,837,983","$833,234","$252,172","$266,873","$175,011","$161,969","$213,420","$133,490","$133,555","$203,380","$76,118","$275,330","$114,607","$80,756","$278,201",244%,"$197,445",
A Tech Electric Enterprises,0014x00000cxMWGAA2,0014x00000cxMWG,Electrical,Electrical,Electrical,"$17,379,000 ",Less than $25M,"$21,057","$2,264,939","$51,293","$125,543","$673,661","$146,216","$104,820","$255,059","$210,264","$211,726","$125,244","$395,055","$917,749","$157,248","$259,564",65%,"$102,316",
"Mountain Power Electrical Contractor, Inc.",0014x00000cxYlkAAE,0014x00000cxYlk,Electrical,Electrical,Electrical,"$6,000,000 ",Less than $25M,"$2,783",$0,$0,"$20,674","$28,829","$24,751","$12,273",$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Foster Electric Corp.,0014x00000D5CPSAA3,0014x00000D5CPS,Electrical,Electrical,Electrical,"$12,200,000 ",Less than $25M,"$2,952","$13,893","$4,307","$9,494","$9,188","$3,235","$8,425","$60,210","$50,084","$66,428","$23,384","$64,093","$3,264",$994,$44,-96%,-$950,
Team Kline,0014x00000D8apTAAR,0014x00000D8apT,Electrical,Electrical,Electrical,"$24,060,000 ",Less than $25M,"$46,967","$450,439","$572,134","$1,125,459","$397,098","$797,457","$470,162","$963,290","$531,395","$834,687","$577,740","$480,376","$548,349","$1,946,078","$12,744,330",555%,"$10,798,252",
Premier Service Company,0014x00000D8aqHAAR,0014x00000D8aqH,Mechanical,Electrical,Electrical,"$25,800,000 ",$25M-$100M,"$2,353,857","$1,697,760","$2,802,844","$4,423,081","$1,060,497","$782,992","$2,527,209","$5,038,903","$1,184,107","$628,961","$765,209","$789,472","$289,327","$1,804,547","$1,126,166",-38%,"-$678,382",
Premier Service Mechanical & Plumbing,0014x00000D8aqHAAR,0014x00000D8aqH,Mechanical,Mechanical,Mechanical,"$25,800,000 ",$25M-$100M,"$753,250.20","$2,124,520.79","$358,296.21","$310,683.32","$254,916.53","$400,908.34","$470,043.01","$1,055,827.34","$1,770,321.59","$1,211,197","$405,359","$623,424","$265,613","$286,916","$691,798",141%,"$404,882",
R/S Electric Corp,0014x00000D8d5zAAB,0014x00000D8d5z,Electrical,Electrical,Electrical,"$68,990,722 ",$25M-$100M,"$1,398,802","$2,212,662","$1,737,138","$1,460,416","$815,647","$741,874","$954,038","$1,129,175","$1,166,042","$1,658,479","$1,132,660","$1,647,822","$1,312,030","$1,327,949","$1,682,655",27%,"$354,706",
Lightning Electric Inc.,0014x00000D8d6NAAR,0014x00000D8d6N,Electrical,Electrical,Electrical,"$9,408,000 ",Less than $25M,"$102,933","$82,959","$66,063","$86,422","$146,932","$63,012","$55,777","$21,481","$32,748","$20,839",$317,"$2,767",$1,$0,$0,#DIV/0!,$0,
"Billitier Electric, Inc.",0014x00000D8d6VAAR,0014x00000D8d6V,Electrical,Electrical,Electrical,"$27,000,000 ",$25M-$100M,"$154,890","$218,760","$221,743","$601,328","$1,240,110","$471,940","$392,296","$655,181","$13,860,795","$1,725,079","$420,279","$841,459","$424,046","$357,374","$847,712",137%,"$490,338",
